Training,Contact Email,Contact Name,Client,Client ID,Account Manager,From Date
Prep 101 - 2020-10-01,bruce.lartice@blandaplc.com,Bruce Lartice,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 101 - 2020-10-01,eustace.goard@blandaplc.com,Eustace Goard,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 101 - 2020-10-01,gilberte.blunderfield@blandaplc.com,Gilberte Blunderfield,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 101 - 2020-10-01,say.elldred@blandaplc.com,Say Elldred,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 101 - 2020-10-29,joice.maccome@blandaplc.com,Joice MacCome,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 102 - 2020-09-10,bruce.lartice@blandaplc.com,Bruce Lartice,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 102 - 2020-09-10,eustace.goard@blandaplc.com,Eustace Goard,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 102 - 2020-09-10,say.elldred@blandaplc.com,Say Elldred,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 102 - 2020-11-26,gilberte.blunderfield@blandaplc.com,Gilberte Blunderfield,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 102 - 2020-11-26,imogen.roeby@blandaplc.com,Imogen Roeby,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 102 - 2020-11-26,joice.maccome@blandaplc.com,Joice MacCome,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 103 - 2020-10-08,bruce.lartice@blandaplc.com,Bruce Lartice,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 103 - 2020-10-08,eustace.goard@blandaplc.com,Eustace Goard,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 103 - 2020-10-08,gilberte.blunderfield@blandaplc.com,Gilberte Blunderfield,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 103 - 2020-10-08,imogen.roeby@blandaplc.com,Imogen Roeby,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 103 - 2020-10-08,joice.maccome@blandaplc.com,Joice MacCome,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 103 - 2020-10-08,say.elldred@blandaplc.com,Say Elldred,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 101 - 2020-09-10,bruce.lartice@blandaplc.com,Bruce Lartice,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 101 - 2020-09-10,eustace.goard@blandaplc.com,Eustace Goard,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 101 - 2020-09-10,gilberte.blunderfield@blandaplc.com,Gilberte Blunderfield,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 101 - 2020-09-10,imogen.roeby@blandaplc.com,Imogen Roeby,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 101 - 2020-09-10,joice.maccome@blandaplc.com,Joice MacCome,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 101 - 2020-09-10,say.elldred@blandaplc.com,Say Elldred,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 102 - 2020-11-12,bruce.lartice@blandaplc.com,Bruce Lartice,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 102 - 2020-11-12,eustace.goard@blandaplc.com,Eustace Goard,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 102 - 2020-11-12,say.elldred@blandaplc.com,Say Elldred,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 103 - 2020-09-10,eustace.goard@blandaplc.com,Eustace Goard,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 103 - 2020-10-01,bruce.lartice@blandaplc.com,Bruce Lartice,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 103 - 2020-10-01,gilberte.blunderfield@blandaplc.com,Gilberte Blunderfield,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 103 - 2020-10-01,joice.maccome@blandaplc.com,Joice MacCome,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 103 - 2020-10-01,say.elldred@blandaplc.com,Say Elldred,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 103 - 2020-11-05,imogen.roeby@blandaplc.com,Imogen Roeby,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 104 - 2020-09-17,eustace.goard@blandaplc.com,Eustace Goard,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 104 - 2020-09-17,say.elldred@blandaplc.com,Say Elldred,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 104 - 2020-10-08,bruce.lartice@blandaplc.com,Bruce Lartice,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 104 - 2020-10-08,gilberte.blunderfield@blandaplc.com,Gilberte Blunderfield,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 104 - 2020-10-08,imogen.roeby@blandaplc.com,Imogen Roeby,Blanda PLC,845,Nancy Smith,01/01/2017
Tableau 104 - 2020-10-08,joice.maccome@blandaplc.com,Joice MacCome,Blanda PLC,845,Nancy Smith,01/01/2017
Prep 101 - 2020-10-01,anneliese.aleavy@blandaplc.com,Anneliese Aleavy,Blanda PLC,626,Louisa James,01/07/2015
Prep 101 - 2020-10-01,lucky.bussons@blandaplc.com,Lucky Bussons,Blanda PLC,626,Louisa James,01/07/2015
Prep 101 - 2020-10-01,nomi.mackibbon@blandaplc.com,Nomi MacKibbon,Blanda PLC,626,Louisa James,01/07/2015
Prep 101 - 2020-10-01,vanna.graves@blandaplc.com,Vanna Graves,Blanda PLC,626,Louisa James,01/07/2015
Prep 102 - 2020-09-10,anneliese.aleavy@blandaplc.com,Anneliese Aleavy,Blanda PLC,626,Louisa James,01/07/2015
Prep 102 - 2020-09-10,nomi.mackibbon@blandaplc.com,Nomi MacKibbon,Blanda PLC,626,Louisa James,01/07/2015
Prep 102 - 2020-09-10,vanna.graves@blandaplc.com,Vanna Graves,Blanda PLC,626,Louisa James,01/07/2015
Prep 102 - 2020-11-26,lucky.bussons@blandaplc.com,Lucky Bussons,Blanda PLC,626,Louisa James,01/07/2015
Prep 103 - 2020-10-08,anneliese.aleavy@blandaplc.com,Anneliese Aleavy,Blanda PLC,626,Louisa James,01/07/2015
Prep 103 - 2020-10-08,lucky.bussons@blandaplc.com,Lucky Bussons,Blanda PLC,626,Louisa James,01/07/2015
Prep 103 - 2020-10-08,nomi.mackibbon@blandaplc.com,Nomi MacKibbon,Blanda PLC,626,Louisa James,01/07/2015
Prep 103 - 2020-10-08,vanna.graves@blandaplc.com,Vanna Graves,Blanda PLC,626,Louisa James,01/07/2015
Tableau 101 - 2020-09-10,anneliese.aleavy@blandaplc.com,Anneliese Aleavy,Blanda PLC,626,Louisa James,01/07/2015
Tableau 101 - 2020-09-10,lucky.bussons@blandaplc.com,Lucky Bussons,Blanda PLC,626,Louisa James,01/07/2015
Tableau 101 - 2020-09-10,nomi.mackibbon@blandaplc.com,Nomi MacKibbon,Blanda PLC,626,Louisa James,01/07/2015
Tableau 101 - 2020-09-10,vanna.graves@blandaplc.com,Vanna Graves,Blanda PLC,626,Louisa James,01/07/2015
Tableau 102 - 2020-11-12,anneliese.aleavy@blandaplc.com,Anneliese Aleavy,Blanda PLC,626,Louisa James,01/07/2015
Tableau 102 - 2020-11-12,nomi.mackibbon@blandaplc.com,Nomi MacKibbon,Blanda PLC,626,Louisa James,01/07/2015
Tableau 102 - 2020-11-12,vanna.graves@blandaplc.com,Vanna Graves,Blanda PLC,626,Louisa James,01/07/2015
Tableau 103 - 2020-09-10,nomi.mackibbon@blandaplc.com,Nomi MacKibbon,Blanda PLC,626,Louisa James,01/07/2015
Tableau 103 - 2020-10-01,anneliese.aleavy@blandaplc.com,Anneliese Aleavy,Blanda PLC,626,Louisa James,01/07/2015
Tableau 103 - 2020-10-01,lucky.bussons@blandaplc.com,Lucky Bussons,Blanda PLC,626,Louisa James,01/07/2015
Tableau 103 - 2020-10-01,vanna.graves@blandaplc.com,Vanna Graves,Blanda PLC,626,Louisa James,01/07/2015
Tableau 104 - 2020-09-17,anneliese.aleavy@blandaplc.com,Anneliese Aleavy,Blanda PLC,626,Louisa James,01/07/2015
Tableau 104 - 2020-09-17,nomi.mackibbon@blandaplc.com,Nomi MacKibbon,Blanda PLC,626,Louisa James,01/07/2015
Tableau 104 - 2020-10-08,lucky.bussons@blandaplc.com,Lucky Bussons,Blanda PLC,626,Louisa James,01/07/2015
Tableau 104 - 2020-10-08,vanna.graves@blandaplc.com,Vanna Graves,Blanda PLC,626,Louisa James,01/07/2015
